Country,Year,Month,Category,Brand,Data Type,Tier 1,Tier 2,Tier 3,Expense
Brazil,2021,2,CSD Colas,PEPSI,A&M,PULL - Non working,Insight,Advanced Analytics,"49,327"
Brazil,2021,2,CSD Colas,PEPSI,A&M,PULL - Non working,Insight,Consumer Tracking,"4,748"
Brazil,2021,2,CSD Colas,PEPSI,A&M,PULL - Non working,Other Non Working,All Other Non Working,491
Brazil,2021,2,CSD Colas,PEPSI,A&M,PULL - Non working,Other Non Working,Cross Charges,"144,980"
Brazil,2021,2,CSD Colas,PEPSI,A&M,PULL - Non working,Other Non Working,Excluded non-A&M Items,"-11,674"
Brazil,2021,2,CSD Colas,PEPSI,A&M,PULL - Non working,Other Non Working,Fall In / Fall Out,-339
Brazil,2021,2,CSD Colas,PEPSI,A&M,PULL - Non working,Package Design,Package Design,495
Brazil,2021,2,CSD Colas,PEPSI,A&M,PULL - working,Consumer Promotions,Consumer Promotions Execution,"16,257"
Brazil,2021,2,CSD Colas,PEPSI,A&M,PULL - working,Other Working,Cross Charges,"19,770"
Brazil,2021,2,CSD Colas,PEPSI,STB,PUSH,Trade Programs,Other Trade Programs,"323,899"
Brazil,2021,2,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Agency Fees,Creative Agency Fees,"5,230"
Brazil,2021,2,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Agency Fees,Media Agency Fees,"1,481"
Brazil,2021,2,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Agency Fees,Other Agency Fees,"6,242"
Brazil,2021,2,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Agency Fees,Social Media/Influence Marketing,"1,711"
Brazil,2021,2,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Insight,Advanced Analytics,"14,496"
Brazil,2021,2,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Other Non Working,Excluded non-A&M Items,"-110,076"
Brazil,2021,2,CSD Lemon Lime,H2OH,STB,PUSH,Trade Programs,Other Trade Programs,"202,054"
Brazil,2021,2,Juices,D8,A&M,PULL - Non working,Other Non Working,Fall In / Fall Out,"1,844"
Brazil,2021,2,RTD Tea,Lipton,A&M,PULL - Non working,Insight,Advanced Analytics,"14,317"
Brazil,2021,2,RTD Tea,Lipton,A&M,PULL - Non working,Insight,Consumer Tracking,-922
Brazil,2021,2,RTD Tea,Lipton,STB,PUSH,Trade Programs,Other Trade Programs,"88,508"
Brazil,2021,2,Sport Drinks,Gatorade,A&M,PULL - Non working,Agency Fees,Creative Agency Fees,"59,782"
Brazil,2021,2,Sport Drinks,Gatorade,A&M,PULL - Non working,Agency Fees,Media Agency Fees,"6,887"
Brazil,2021,2,Sport Drinks,Gatorade,A&M,PULL - Non working,Agency Fees,Other Agency Fees,"1,845"
Brazil,2021,2,Sport Drinks,Gatorade,A&M,PULL - Non working,Agency Fees,Social Media/Influence Marketing,"3,031"
Brazil,2021,2,Sport Drinks,Gatorade,A&M,PULL - Non working,Insight,Advanced Analytics,"12,564"
Brazil,2021,2,Sport Drinks,Gatorade,A&M,PULL - Non working,Other Non Working,Fall In / Fall Out,"2,331"
Brazil,2021,2,Sport Drinks,Gatorade,A&M,PULL - working,Sponsorships,Sponsorships,"28,495"
Brazil,2021,2,Sport Drinks,Gatorade,STB,PUSH,Trade Programs,Other Trade Programs,"132,926"
Brazil,2021,3,CSD Colas,PEPSI,A&M,PULL - Non working,Ad Production,TV Print Radio OOH Prod,"7,736"
Brazil,2021,3,CSD Colas,PEPSI,A&M,PULL - Non working,Agency Fees,Creative Agency Fees,"14,049"
Brazil,2021,3,CSD Colas,PEPSI,A&M,PULL - Non working,Agency Fees,Media Agency Fees,"9,181"
Brazil,2021,3,CSD Colas,PEPSI,A&M,PULL - Non working,Agency Fees,Social Media/Influence Marketing,"-3,055"
Brazil,2021,3,CSD Colas,PEPSI,A&M,PULL - Non working,Insight,Advanced Analytics,"-70,814"
Brazil,2021,3,CSD Colas,PEPSI,A&M,PULL - Non working,Insight,Consumer Tracking,"16,086"
Brazil,2021,3,CSD Colas,PEPSI,A&M,PULL - Non working,Insight,Innovation Insights,"113,242"
Brazil,2021,3,CSD Colas,PEPSI,A&M,PULL - Non working,Other Non Working,All Other Non Working,-439
Brazil,2021,3,CSD Colas,PEPSI,A&M,PULL - Non working,Other Non Working,Cross Charges,"144,980"
Brazil,2021,3,CSD Colas,PEPSI,A&M,PULL - Non working,Other Non Working,Excluded non-A&M Items,"10,421"
Brazil,2021,3,CSD Colas,PEPSI,A&M,PULL - Non working,Other Non Working,Fall In / Fall Out,"-10,037"
Brazil,2021,3,CSD Colas,PEPSI,A&M,PULL - Non working,Package Design,Package Design,"-1,364"
Brazil,2021,3,CSD Colas,PEPSI,A&M,PULL - working,Consumer Promotions,Consumer Promotions Execution,"-13,353"
Brazil,2021,3,CSD Colas,PEPSI,A&M,PULL - working,Other Working,All Other Working,"18,913"
Brazil,2021,3,CSD Colas,PEPSI,A&M,PULL - working,Other Working,Cross Charges,"19,770"
Brazil,2021,3,CSD Colas,PEPSI,A&M,PULL - working,Sampling,Product Samples,"34,506"
Brazil,2021,3,CSD Colas,PEPSI,STB,Others,Bottler Cooperative,CDAs,"121,200"
Brazil,2021,3,CSD Colas,PEPSI,STB,PUSH,Trade Programs,Other Trade Programs,"479,868"
Brazil,2021,3,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Ad Production,TV Print Radio OOH Prod,63
Brazil,2021,3,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Agency Fees,Creative Agency Fees,"120,749"
Brazil,2021,3,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Agency Fees,Media Agency Fees,"-3,935"
Brazil,2021,3,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Agency Fees,Other Agency Fees,"-9,715"
Brazil,2021,3,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Agency Fees,Social Media/Influence Marketing,"-3,055"
Brazil,2021,3,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Insight,Advanced Analytics,"-25,267"
Brazil,2021,3,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Insight,Innovation Insights,"49,700"
Brazil,2021,3,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Other Non Working,Excluded non-A&M Items,"101,944"
Brazil,2021,3,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Package Design,Package Design,"12,792"
Brazil,2021,3,CSD Lemon Lime,H2OH,A&M,PULL - working,Consumer Promotions,Consumer Promotions Execution,828
Brazil,2021,3,CSD Lemon Lime,H2OH,A&M,PULL - working,Media Placements,Media Placements,179
Brazil,2021,3,CSD Lemon Lime,H2OH,A&M,PULL - working,Other Working,All Other Working,"11,730"
Brazil,2021,3,CSD Lemon Lime,H2OH,STB,PUSH,Trade Programs,Other Trade Programs,"192,295"
Brazil,2021,3,RTD Tea,Lipton,A&M,PULL - Non working,Agency Fees,Creative Agency Fees,"2,207"
Brazil,2021,3,RTD Tea,Lipton,A&M,PULL - Non working,Insight,Advanced Analytics,"-21,164"
Brazil,2021,3,RTD Tea,Lipton,A&M,PULL - Non working,Insight,Consumer Tracking,"37,268"
Brazil,2021,3,RTD Tea,Lipton,A&M,PULL - Non working,Insight,Innovation Insights,"1,231"
Brazil,2021,3,RTD Tea,Lipton,STB,PUSH,Trade Programs,Other Trade Programs,"8,593"
Brazil,2021,3,Sport Drinks,Gatorade,A&M,PULL - Non working,Ad Production,TV Print Radio OOH Prod,735
Brazil,2021,3,Sport Drinks,Gatorade,A&M,PULL - Non working,Agency Fees,Creative Agency Fees,"-25,192"
Brazil,2021,3,Sport Drinks,Gatorade,A&M,PULL - Non working,Agency Fees,Media Agency Fees,"-8,041"
Brazil,2021,3,Sport Drinks,Gatorade,A&M,PULL - Non working,Agency Fees,Other Agency Fees,"-6,954"
Brazil,2021,3,Sport Drinks,Gatorade,A&M,PULL - Non working,Agency Fees,Social Media/Influence Marketing,"-2,706"
Brazil,2021,3,Sport Drinks,Gatorade,A&M,PULL - Non working,Insight,Advanced Analytics,"-21,859"
Brazil,2021,3,Sport Drinks,Gatorade,A&M,PULL - Non working,Insight,Innovation Insights,"63,274"
Brazil,2021,3,Sport Drinks,Gatorade,A&M,PULL - Non working,Other Non Working,Excluded non-A&M Items,"17,709"
Brazil,2021,3,Sport Drinks,Gatorade,A&M,PULL - Non working,Other Non Working,Fall In / Fall Out,"-4,265"
Brazil,2021,3,Sport Drinks,Gatorade,A&M,PULL - Non working,Package Design,Package Design,"1,547"
Brazil,2021,3,Sport Drinks,Gatorade,A&M,PULL - working,Media Placements,Media Placements,"10,734"
Brazil,2021,3,Sport Drinks,Gatorade,A&M,PULL - working,Other Working,All Other Working,"44,004"
Brazil,2021,3,Sport Drinks,Gatorade,A&M,PULL - working,Sampling,Product Samples,"51,515"
Brazil,2021,3,Sport Drinks,Gatorade,A&M,PULL - working,Sponsorships,Sponsorships,"163,919"
Brazil,2021,3,Sport Drinks,Gatorade,STB,PUSH,Trade Programs,Other Trade Programs,"111,858"
Brazil,2021,4,CSD Colas,PEPSI,A&M,PULL - Non working,Ad Production,TV Print Radio OOH Prod,"6,348"
Brazil,2021,4,CSD Colas,PEPSI,A&M,PULL - Non working,Agency Fees,Creative Agency Fees,"7,437"
Brazil,2021,4,CSD Colas,PEPSI,A&M,PULL - Non working,Insight,Advanced Analytics,"-5,953"
Brazil,2021,4,CSD Colas,PEPSI,A&M,PULL - Non working,Insight,Consumer Tracking,"7,726"
Brazil,2021,4,CSD Colas,PEPSI,A&M,PULL - Non working,Insight,Innovation Insights,"172,682"
Brazil,2021,4,CSD Colas,PEPSI,A&M,PULL - Non working,Other Non Working,All Other Non Working,"-15,858"
Brazil,2021,4,CSD Colas,PEPSI,A&M,PULL - Non working,Other Non Working,Cross Charges,"144,980"
Brazil,2021,4,CSD Colas,PEPSI,A&M,PULL - Non working,Other Non Working,Fall In / Fall Out,"2,916"
Brazil,2021,4,CSD Colas,PEPSI,A&M,PULL - working,Consumer Promotions,Consumer Promotions Execution,531
Brazil,2021,4,CSD Colas,PEPSI,A&M,PULL - working,Media Placements,Media Placements,"9,280"
Brazil,2021,4,CSD Colas,PEPSI,A&M,PULL - working,Other Working,Cross Charges,"19,770"
Brazil,2021,4,CSD Colas,PEPSI,A&M,PULL - working,Sampling,Product Samples,"5,245"
Brazil,2021,4,CSD Colas,PEPSI,A&M,PULL - working,Sponsorships,Sponsorships,"4,830"
Brazil,2021,4,CSD Colas,PEPSI,STB,PUSH,Trade Programs,Other Trade Programs,"477,134"
Brazil,2021,4,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Ad Production,TV Print Radio OOH Prod,-58
Brazil,2021,4,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Agency Fees,Creative Agency Fees,"-80,869"
Brazil,2021,4,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Insight,Innovation Insights,"-77,461"
Brazil,2021,4,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Other Non Working,All Other Non Working,"12,687"
Brazil,2021,4,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Package Design,Package Design,-966
Brazil,2021,4,CSD Lemon Lime,H2OH,A&M,PULL - working,Consumer Promotions,Consumer Promotions Execution,933
Brazil,2021,4,CSD Lemon Lime,H2OH,A&M,PULL - working,Media Placements,Media Placements,"27,341"
Brazil,2021,4,CSD Lemon Lime,H2OH,A&M,PULL - working,Other Working,All Other Working,"102,287"
Brazil,2021,4,CSD Lemon Lime,H2OH,STB,PUSH,Trade Programs,Other Trade Programs,"153,572"
Brazil,2021,4,RTD Tea,Lipton,A&M,PULL - Non working,Agency Fees,Creative Agency Fees,754
Brazil,2021,4,RTD Tea,Lipton,A&M,PULL - Non working,Agency Fees,Other Agency Fees,-146
Brazil,2021,4,RTD Tea,Lipton,A&M,PULL - Non working,Insight,Advanced Analytics,"-1,680"
Brazil,2021,4,RTD Tea,Lipton,A&M,PULL - Non working,Insight,Consumer Tracking,"-34,170"
Brazil,2021,4,RTD Tea,Lipton,A&M,PULL - Non working,Insight,Innovation Insights,"26,612"
Brazil,2021,4,RTD Tea,Lipton,A&M,PULL - Non working,Other Non Working,All Other Non Working,352
Brazil,2021,4,RTD Tea,Lipton,A&M,PULL - working,Consumer Promotions,Consumer Promotions Execution,"11,153"
Brazil,2021,4,RTD Tea,Lipton,STB,PUSH,Trade Programs,Other Trade Programs,"4,416"
Brazil,2021,4,Sport Drinks,Gatorade,A&M,PULL - Non working,Ad Production,TV Print Radio OOH Prod,333
Brazil,2021,4,Sport Drinks,Gatorade,A&M,PULL - Non working,Agency Fees,Creative Agency Fees,"12,574"
Brazil,2021,4,Sport Drinks,Gatorade,A&M,PULL - Non working,Insight,Innovation Insights,"5,303"
Brazil,2021,4,Sport Drinks,Gatorade,A&M,PULL - Non working,Other Non Working,All Other Non Working,"12,687"
Brazil,2021,4,Sport Drinks,Gatorade,A&M,PULL - Non working,Other Non Working,Fall In / Fall Out,"-43,947"
Brazil,2021,4,Sport Drinks,Gatorade,A&M,PULL - Non working,Package Design,Package Design,"5,572"
Brazil,2021,4,Sport Drinks,Gatorade,A&M,PULL - working,Media Placements,Media Placements,"50,317"
Brazil,2021,4,Sport Drinks,Gatorade,A&M,PULL - working,Other Working,All Other Working,556
Brazil,2021,4,Sport Drinks,Gatorade,A&M,PULL - working,Sampling,Product Samples,"67,451"
Brazil,2021,4,Sport Drinks,Gatorade,A&M,PULL - working,Sponsorships,Sponsorships,"627,809"
Brazil,2021,4,Sport Drinks,Gatorade,STB,PUSH,Trade Programs,Other Trade Programs,"92,932"
Brazil,2021,5,CSD Colas,PEPSI,A&M,PULL - Non working,Ad Production,TV Print Radio OOH Prod,"5,473"
Brazil,2021,5,CSD Colas,PEPSI,A&M,PULL - Non working,Agency Fees,Creative Agency Fees,"2,032"
Brazil,2021,5,CSD Colas,PEPSI,A&M,PULL - Non working,Insight,Consumer Tracking,"1,669"
Brazil,2021,5,CSD Colas,PEPSI,A&M,PULL - Non working,Insight,Innovation Insights,"42,181"
Brazil,2021,5,CSD Colas,PEPSI,A&M,PULL - Non working,Other Non Working,All Other Non Working,"2,985"
Brazil,2021,5,CSD Colas,PEPSI,A&M,PULL - Non working,Other Non Working,Cross Charges,"144,980"
Brazil,2021,5,CSD Colas,PEPSI,A&M,PULL - Non working,Other Non Working,Excluded non-A&M Items,"-3,393"
Brazil,2021,5,CSD Colas,PEPSI,A&M,PULL - Non working,Other Non Working,Fall In / Fall Out,"-46,340"
Brazil,2021,5,CSD Colas,PEPSI,A&M,PULL - working,Media Placements,Media Placements,"-2,260"
Brazil,2021,5,CSD Colas,PEPSI,A&M,PULL - working,Other Working,Cross Charges,"19,770"
Brazil,2021,5,CSD Colas,PEPSI,A&M,PULL - working,Sponsorships,Sponsorships,"-4,546"
Brazil,2021,5,CSD Colas,PEPSI,STB,Others,Bottler Cooperative,CDAs,"144,438"
Brazil,2021,5,CSD Colas,PEPSI,STB,PUSH,Trade Programs,Other Trade Programs,"633,794"
Brazil,2021,5,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Ad Production,TV Print Radio OOH Prod,757
Brazil,2021,5,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Agency Fees,Creative Agency Fees,"9,278"
Brazil,2021,5,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Insight,Innovation Insights,"11,690"
Brazil,2021,5,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Other Non Working,All Other Non Working,"2,985"
Brazil,2021,5,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Package Design,Package Design,964
Brazil,2021,5,CSD Lemon Lime,H2OH,A&M,PULL - working,Media Placements,Media Placements,"1,206"
Brazil,2021,5,CSD Lemon Lime,H2OH,A&M,PULL - working,Sponsorships,Sponsorships,"1,220"
Brazil,2021,5,CSD Lemon Lime,H2OH,STB,PUSH,Trade Programs,Other Trade Programs,"97,661"
Brazil,2021,5,RTD Tea,Lipton,A&M,PULL - Non working,Insight,Innovation Insights,"5,736"
Brazil,2021,5,RTD Tea,Lipton,A&M,PULL - Non working,Other Non Working,All Other Non Working,236
Brazil,2021,5,RTD Tea,Lipton,A&M,PULL - Non working,Other Non Working,Fall In / Fall Out,823
Brazil,2021,5,RTD Tea,Lipton,STB,PUSH,Trade Programs,Other Trade Programs,"7,415"
Brazil,2021,5,Sport Drinks,Gatorade,A&M,PULL - Non working,Ad Production,TV Print Radio OOH Prod,557
Brazil,2021,5,Sport Drinks,Gatorade,A&M,PULL - Non working,Agency Fees,Creative Agency Fees,"11,031"
Brazil,2021,5,Sport Drinks,Gatorade,A&M,PULL - Non working,Insight,Innovation Insights,"19,247"
Brazil,2021,5,Sport Drinks,Gatorade,A&M,PULL - Non working,Other Non Working,All Other Non Working,"2,985"
Brazil,2021,5,Sport Drinks,Gatorade,A&M,PULL - Non working,Other Non Working,Fall In / Fall Out,"30,009"
Brazil,2021,5,Sport Drinks,Gatorade,A&M,PULL - Non working,Package Design,Package Design,"1,136"
Brazil,2021,5,Sport Drinks,Gatorade,A&M,PULL - working,Media Placements,Media Placements,"4,833"
Brazil,2021,5,Sport Drinks,Gatorade,A&M,PULL - working,Other Working,All Other Working,499
Brazil,2021,5,Sport Drinks,Gatorade,A&M,PULL - working,Sampling,Product Samples,"11,080"
Brazil,2021,5,Sport Drinks,Gatorade,A&M,PULL - working,Sponsorships,Sponsorships,"87,890"
Brazil,2021,5,Sport Drinks,Gatorade,STB,PUSH,Trade Programs,Other Trade Programs,"91,481"
Brazil,2021,6,CSD Colas,PEPSI,A&M,PULL - Non working,Ad Production,TV Print Radio OOH Prod,"16,830"
Brazil,2021,6,CSD Colas,PEPSI,A&M,PULL - Non working,Agency Fees,Creative Agency Fees,"6,075"
Brazil,2021,6,CSD Colas,PEPSI,A&M,PULL - Non working,Agency Fees,Media Agency Fees,"-9,105"
Brazil,2021,6,CSD Colas,PEPSI,A&M,PULL - Non working,Agency Fees,Other Agency Fees,403
Brazil,2021,6,CSD Colas,PEPSI,A&M,PULL - Non working,Insight,Consumer Tracking,"1,187"
Brazil,2021,6,CSD Colas,PEPSI,A&M,PULL - Non working,Insight,Innovation Insights,"-121,316"
Brazil,2021,6,CSD Colas,PEPSI,A&M,PULL - Non working,Other Non Working,All Other Non Working,"12,976"
Brazil,2021,6,CSD Colas,PEPSI,A&M,PULL - Non working,Other Non Working,Cross Charges,"144,980"
Brazil,2021,6,CSD Colas,PEPSI,A&M,PULL - Non working,Other Non Working,Excluded non-A&M Items,"7,237"
Brazil,2021,6,CSD Colas,PEPSI,A&M,PULL - working,Consumer Promotions,Consumer Promotions Execution,"3,310"
Brazil,2021,6,CSD Colas,PEPSI,A&M,PULL - working,Media Placements,Media Placements,"19,366"
Brazil,2021,6,CSD Colas,PEPSI,A&M,PULL - working,Other Working,All Other Working,"-17,736"
Brazil,2021,6,CSD Colas,PEPSI,A&M,PULL - working,Other Working,Cross Charges,"19,770"
Brazil,2021,6,CSD Colas,PEPSI,STB,PUSH,Trade Programs,Other Trade Programs,"57,522"
Brazil,2021,6,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Ad Production,TV Print Radio OOH Prod,"2,910"
Brazil,2021,6,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Agency Fees,Creative Agency Fees,"10,083"
Brazil,2021,6,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Insight,Innovation Insights,"125,009"
Brazil,2021,6,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Other Non Working,All Other Non Working,"3,244"
Brazil,2021,6,CSD Lemon Lime,H2OH,A&M,PULL - working,Consumer Promotions,Consumer Promotions Execution,"-1,731"
Brazil,2021,6,CSD Lemon Lime,H2OH,A&M,PULL - working,Media Placements,Media Placements,129
Brazil,2021,6,CSD Lemon Lime,H2OH,A&M,PULL - working,Other Working,All Other Working,"1,898"
Brazil,2021,6,RTD Tea,Lipton,A&M,PULL - Non working,Agency Fees,Creative Agency Fees,"1,045"
Brazil,2021,6,RTD Tea,Lipton,A&M,PULL - Non working,Insight,Innovation Insights,"4,978"
Brazil,2021,6,RTD Tea,Lipton,A&M,PULL - Non working,Other Non Working,All Other Non Working,147
Brazil,2021,6,RTD Tea,Lipton,STB,PUSH,Trade Programs,Other Trade Programs,"16,116"
Brazil,2021,6,Sport Drinks,Gatorade,A&M,PULL - Non working,Ad Production,TV Print Radio OOH Prod,59
Brazil,2021,6,Sport Drinks,Gatorade,A&M,PULL - Non working,Agency Fees,Creative Agency Fees,"4,393"
Brazil,2021,6,Sport Drinks,Gatorade,A&M,PULL - Non working,Agency Fees,Media Agency Fees,"-2,894"
Brazil,2021,6,Sport Drinks,Gatorade,A&M,PULL - Non working,Agency Fees,Other Agency Fees,"-4,224"
Brazil,2021,6,Sport Drinks,Gatorade,A&M,PULL - Non working,Agency Fees,Social Media/Influence Marketing,"-4,823"
Brazil,2021,6,Sport Drinks,Gatorade,A&M,PULL - Non working,Insight,Innovation Insights,"12,578"
Brazil,2021,6,Sport Drinks,Gatorade,A&M,PULL - Non working,Other Non Working,All Other Non Working,"3,244"
Brazil,2021,6,Sport Drinks,Gatorade,A&M,PULL - Non working,Package Design,Package Design,"1,192"
Brazil,2021,6,Sport Drinks,Gatorade,A&M,PULL - working,Media Placements,Media Placements,"2,043"
Brazil,2021,6,Sport Drinks,Gatorade,A&M,PULL - working,Other Working,All Other Working,522
Brazil,2021,6,Sport Drinks,Gatorade,A&M,PULL - working,Sampling,Product Samples,"14,208"
Brazil,2021,6,Sport Drinks,Gatorade,A&M,PULL - working,Sponsorships,Sponsorships,"121,675"
Brazil,2021,6,Sport Drinks,Gatorade,STB,PUSH,Trade Programs,Other Trade Programs,"27,616"
Brazil,2021,7,CSD Colas,PEPSI,A&M,PULL - Non working,Agency Fees,Creative Agency Fees,"6,654"
Brazil,2021,7,CSD Colas,PEPSI,A&M,PULL - Non working,Agency Fees,Media Agency Fees,"-17,838"
Brazil,2021,7,CSD Colas,PEPSI,A&M,PULL - Non working,Agency Fees,Other Agency Fees,-395
Brazil,2021,7,CSD Colas,PEPSI,A&M,PULL - Non working,Insight,Consumer Tracking,548
Brazil,2021,7,CSD Colas,PEPSI,A&M,PULL - Non working,Insight,Innovation Insights,"30,189"
Brazil,2021,7,CSD Colas,PEPSI,A&M,PULL - Non working,Other Non Working,All Other Non Working,-1
Brazil,2021,7,CSD Colas,PEPSI,A&M,PULL - Non working,Other Non Working,Cross Charges,"144,980"
Brazil,2021,7,CSD Colas,PEPSI,A&M,PULL - working,Media Placements,Media Placements,353
Brazil,2021,7,CSD Colas,PEPSI,A&M,PULL - working,Other Working,Cross Charges,"19,770"
Brazil,2021,7,CSD Colas,PEPSI,STB,PUSH,Trade Programs,Other Trade Programs,"317,606"
Brazil,2021,7,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Agency Fees,Creative Agency Fees,"11,637"
Brazil,2021,7,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Insight,Innovation Insights,"16,546"
Brazil,2021,7,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Other Non Working,All Other Non Working,"-19,066"
Brazil,2021,7,CSD Lemon Lime,H2OH,A&M,PULL - working,Media Placements,Media Placements,435
Brazil,2021,7,CSD Lemon Lime,H2OH,A&M,PULL - working,Other Working,All Other Working,851
Brazil,2021,7,CSD Lemon Lime,H2OH,STB,PUSH,Trade Programs,Other Trade Programs,"85,581"
Brazil,2021,7,RTD Tea,Lipton,A&M,PULL - Non working,Agency Fees,Creative Agency Fees,"1,234"
Brazil,2021,7,RTD Tea,Lipton,A&M,PULL - Non working,Insight,Innovation Insights,"3,846"
Brazil,2021,7,RTD Tea,Lipton,A&M,PULL - Non working,Other Non Working,All Other Non Working,103
Brazil,2021,7,RTD Tea,Lipton,STB,PUSH,Trade Programs,Other Trade Programs,"89,301"
